County,Year,Count,Median_Price
Carlow,2010,231.0,157709.0
Carlow,2011,183.0,127000.0
Carlow,2012,266.0,100000.0
Carlow,2013,375.0,90000.0
Carlow,2014,438.0,110000.0
Carlow,2015,529.0,118000.0
Carlow,2016,535.0,135000.0
Carlow,2017,535.0,137000.0
Carlow,2018,685.0,165000.0
Carlow,2019,677.0,168067.0
Carlow,2020,524.0,173500.0
Carlow,2021,713.0,190000.0
Carlow,2022,722.0,209500.0
Carlow,2023,712.0,229294.0
Carlow,2024,505.0,245000.0
Cavan,2010,303.0,130000.0
Cavan,2011,276.0,112387.5
Cavan,2012,331.0,85000.0
Cavan,2013,511.0,64000.0
Cavan,2014,835.0,60000.0
Cavan,2015,811.0,76932.0
Cavan,2016,778.0,85000.0
Cavan,2017,844.0,100000.0
Cavan,2018,851.0,120395.0
Cavan,2019,832.0,135000.0
Cavan,2020,721.0,140000.0
Cavan,2021,906.0,155000.0
Cavan,2022,912.0,175000.0
Cavan,2023,858.0,190000.0
Cavan,2024,626.0,193500.0
Clare,2010,507.0,160000.0
Clare,2011,430.0,139675.0
Clare,2012,578.0,115000.0
Clare,2013,641.0,94000.0
Clare,2014,1047.0,95000.0
Clare,2015,1194.0,100281.5
Clare,2016,1184.0,121000.0
Clare,2017,1302.0,139250.0
Clare,2018,1249.0,160000.0
Clare,2019,1241.0,170000.0
Clare,2020,1103.0,177000.0
Clare,2021,1401.0,190000.0
Clare,2022,1398.0,220000.0
Clare,2023,1336.0,229074.0
Clare,2024,943.0,262500.0
Cork,2010,2272.0,210000.0
Cork,2011,2107.0,180000.0
Cork,2012,2761.0,152500.0
Cork,2013,3253.0,137900.0
Cork,2014,4676.0,145000.0
Cork,2015,5431.0,160000.0
Cork,2016,5668.0,180000.0
Cork,2017,5895.0,200000.0
Cork,2018,6105.0,220000.0
Cork,2019,6575.0,230000.0
Cork,2020,5500.0,243500.0
Cork,2021,6467.0,255000.0
Cork,2022,6646.0,280000.0
Cork,2023,7143.0,295154.0
Cork,2024,5258.0,310000.0
Donegal,2010,635.0,135000.0
Donegal,2011,534.0,115000.0
Donegal,2012,703.0,90000.0
Donegal,2013,765.0,79000.0
Donegal,2014,1208.0,78000.0
Donegal,2015,1509.0,86300.0
Donegal,2016,1471.0,91000.0
Donegal,2017,1334.0,105000.0
Donegal,2018,1492.0,100000.0
Donegal,2019,1553.0,112000.0
Donegal,2020,1380.0,125000.0
Donegal,2021,1701.0,130000.0
Donegal,2022,1628.0,158590.0
Donegal,2023,1510.0,170000.0
Donegal,2024,1147.0,172500.0
Dublin,2010,6941.0,267500.0
Dublin,2011,5905.0,237885.0
Dublin,2012,8926.0,202643.0
Dublin,2013,10517.0,220000.0
Dublin,2014,14180.0,253000.0
Dublin,2015,15442.0,269000.0
Dublin,2016,15812.0,297178.0
Dublin,2017,17991.0,321000.0
Dublin,2018,18696.0,337000.0
Dublin,2019,18455.0,340000.0
Dublin,2020,14772.0,355000.0
Dublin,2021,17089.0,375000.0
Dublin,2022,18473.0,400000.0
Dublin,2023,18861.0,411000.0
Dublin,2024,13839.0,440000.0
Galway,2010,950.0,200000.0
Galway,2011,957.0,160000.0
Galway,2012,1172.0,145000.0
Galway,2013,1586.0,130000.0
Galway,2014,2433.0,133000.0
Galway,2015,2834.0,136000.0
Galway,2016,2581.0,160000.0
Galway,2017,2791.0,180000.0
Galway,2018,2661.0,200000.0
Galway,2019,2776.0,215000.0
Galway,2020,2370.0,225000.0
Galway,2021,2819.0,245000.0
Galway,2022,2825.0,272500.0
Galway,2023,2902.0,290000.0
Galway,2024,2014.0,312000.0
Kerry,2010,628.0,175000.0
Kerry,2011,572.0,146500.0
Kerry,2012,762.0,127000.0
Kerry,2013,881.0,107000.0
Kerry,2014,1219.0,105001.0
Kerry,2015,1429.0,110132.0
Kerry,2016,1494.0,125000.0
Kerry,2017,1666.0,133000.0
Kerry,2018,1666.0,147750.0
Kerry,2019,1601.0,165000.0
Kerry,2020,1372.0,165000.0
Kerry,2021,1660.0,190000.0
Kerry,2022,1736.0,215000.0
Kerry,2023,1543.0,235000.0
Kerry,2024,1113.0,235000.0
Kildare,2010,1049.0,223140.0
Kildare,2011,798.0,200000.0
Kildare,2012,1061.0,170000.0
Kildare,2013,1332.0,170000.0
Kildare,2014,1884.0,200000.0
Kildare,2015,2301.0,223000.0
Kildare,2016,2329.0,240000.0
Kildare,2017,2855.0,250000.0
Kildare,2018,3117.0,266000.0
Kildare,2019,3499.0,270906.0
Kildare,2020,2849.0,288546.0
Kildare,2021,3507.0,303964.0
Kildare,2022,3955.0,335000.0
Kildare,2023,4204.0,355000.0
Kildare,2024,2405.0,361233.0
Kilkenny,2010,343.0,165000.0
Kilkenny,2011,354.0,135000.0
Kilkenny,2012,464.0,120000.0
Kilkenny,2013,477.0,110000.0
Kilkenny,2014,690.0,112250.0
Kilkenny,2015,780.0,135000.0
Kilkenny,2016,723.0,157000.0
Kilkenny,2017,803.0,159000.0
Kilkenny,2018,872.0,180000.0
Kilkenny,2019,933.0,182000.0
Kilkenny,2020,744.0,192235.0
Kilkenny,2021,967.0,215000.0
Kilkenny,2022,960.0,235000.0
Kilkenny,2023,1017.0,265000.0
Kilkenny,2024,806.0,285225.0
Laois,2010,331.0,150000.0
Laois,2011,327.0,110000.0
Laois,2012,433.0,80000.0
Laois,2013,423.0,70000.0
Laois,2014,657.0,83700.0
Laois,2015,669.0,105000.0
Laois,2016,783.0,126000.0
Laois,2017,792.0,137083.0
Laois,2018,839.0,152000.0
Laois,2019,910.0,170000.0
Laois,2020,747.0,176000.0
Laois,2021,1078.0,195000.0
Laois,2022,1020.0,220000.0
Laois,2023,1221.0,243000.0
Laois,2024,867.0,256500.0
Leitrim,2010,143.0,125000.0
Leitrim,2011,182.0,107000.0
Leitrim,2012,206.0,80000.0
Leitrim,2013,344.0,60000.0
Leitrim,2014,392.0,60000.0
Leitrim,2015,487.0,70000.0
Leitrim,2016,506.0,75000.0
Leitrim,2017,500.0,86000.0
Leitrim,2018,495.0,99900.0
Leitrim,2019,463.0,100000.0
Leitrim,2020,443.0,102000.0
Leitrim,2021,557.0,130000.0
Leitrim,2022,565.0,155000.0
Leitrim,2023,529.0,160000.0
Leitrim,2024,361.0,172000.0
Limerick,2010,759.0,170000.0
Limerick,2011,729.0,157000.0
Limerick,2012,841.0,132000.0
Limerick,2013,922.0,115000.0
Limerick,2014,1639.0,95000.0
Limerick,2015,2030.0,115000.0
Limerick,2016,1937.0,125000.0
Limerick,2017,2102.0,145000.0
Limerick,2018,2154.0,171875.0
Limerick,2019,2178.0,180000.0
Limerick,2020,1883.0,191000.0
Limerick,2021,2186.0,200000.0
Limerick,2022,2292.0,230000.0
Limerick,2023,2218.0,241250.0
Limerick,2024,1560.0,270000.0
Longford,2010,145.0,126651.0
Longford,2011,142.0,84698.5
Longford,2012,211.0,62000.0
Longford,2013,264.0,52681.5
Longford,2014,450.0,52500.0
Longford,2015,488.0,58000.0
Longford,2016,463.0,68500.0
Longford,2017,411.0,80000.0
Longford,2018,475.0,90000.0
Longford,2019,455.0,110000.0
Longford,2020,399.0,104000.0
Longford,2021,612.0,125000.0
