Title,Location,Date Published,Submission Deadline,Resource ID,Info,Procedure,Status,Notice PDF,Award Date,Estimated Value,Cycle
Tender for a Multi Supplier Framework Agreement for the Provision of Structured Cabling Services to Rehab Group Centres.,The Rehab Group,29/10/2024 15:07:37,06/12/2024 12:00:00,4582062,"The Rehab Group is seeking tenders from competent service providers for the supply of structured data cabling at a number of National Learning Netork Centres. The framework agreement will be established as a multi supplier framework agreement with the maximum of one (1) member per Lot, subject to that number meeting the minimum criteria and rules. There will be 4 Lots which will be based on geographic alignment. Lot 1: NLN Arklow and NLN Waterford, Lot 2: NLN Galway and NLN Limerick, Lot 3: NLN Cava and NLN Kilkenny, Lot 4: NLN Tallaght and Swords. The full details are contained in the tender documents attached to this contract notice and which can be downloaded from the Irish Government Procurement website – www.etenders.gov.ie",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4582062,,"80,000.00",1
Donegal County County Peacebuilding Through the Environment PEACEPLUS Countywide Programme Theme 2 Thriving and Peaceful Communities,Donegal County Council_1193,29/10/2024 14:04:10,26/11/2024 00:00:00,4579793,"Co-designed Local Community Peace Action Plan Theme 2 Thriving and Peaceful Communities. Peacebuilding Through the Environment PEACEPLUS Countywide Programme. Donegal County Council is currently seeking to appoint a suitably qualified organisation or collaboration of organisations from the public, private, or community and voluntary sector to design and deliver a Peacebuilding Through the Environment Countywide Community Climate Action and Mitigation Programme.",Open,Tender Submission,,,,1
"Extension to St. Colman's NS, Ballindaggin, Enniscorthy, Co. Wexford",St. Colman's National School (Ballindaggin),29/10/2024 13:23:41,22/11/2024 00:00:00,4581261,"Additional Accommodation - The project consists of the provision of • 2 x Classroom incl. WC 160 m2 • 1 x Universal Access Toilet 10.5 m2 Giving a Gross Floor Area (incl. circulation, internal walls and stairs) 206.0 m2",Open,Tender Submission,,,"600,000.00",1
"Request for Tenders from appropriate bodies for to carry out academic research that examines the potential impact, scalability and sustainability of the Connect 4 project",South Dublin County Partnership_116760,29/10/2024 13:20:34,03/12/2024 17:00:00,4580673,"South Dublin County Partnership are looking to engage an appropriate body to carry out academic research that examines the potential impact, scalability and sustainability of the Connect 4 project, with a view to influencing Government policy in this area. The successful tenderer will deliver research that examines how government policy might best be updated to maximize the positive impact, scalability and sustainability of the Connect 4 programme nationwide. The Aim of the Research: 1. Evaluate the efficacy of the Connect 4 Programme. 2. Provide recommendations for the further development of the programme to support both the scalability and funding sustainability of the model. The evaluation should include but not be limited to: • A review of the impact of the programme on the lives of at-risk young people between the age of 10-24 years. • An ecological approach which explores the impact on the wider community and community services. • The Social Return of investment of the Connect 4 model. • Exploration of national and regional policies and plans to identify where the Connect 4 model can meet objectives as a multi- faceted approach. • Recommendations for the further development of the programme to support the scalability and funding sustainability of the model. We would expect that the successful evaluator would be experienced in similar projects and would recommend a methodology that would meet the above requirements.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4580673,,"85,000.00",1
"Call for Tenders for the provision of Catering Services under the School Meals Scheme to St. Senan’s Primary School, 20041C",St. Senan's Priamry School (Kilrush),29/10/2024 12:26:34,19/11/2024 15:00:00,4567628,"St. Senan’s Primary School is a Catholic, Co-Educational, DEIS Band 1 School in Kilrush, Co. Clare. We have 337 pupils across our mainstream and special classes.",Open,Tender Submission,,,"726,000.00",1
Single Party Framework Agreement for Quantity Surveying Services for Atlantic Technological University Future Living Lab for all stages,Atlantic Technological University,29/10/2024 12:16:45,28/11/2024 13:00:00,4580367,ATU are seeking to Establish a Design Team for the development of a new building ATU Future Living Lab under the Technological Sector Strategic Project Fund TSSPF. Please refer to attached documentation for further information.,Restricted,Tender Submission,,,,1
Provision of Garage Services for the Tralee Municipal District Metro Area of Kerry County Council.,Kerry County Council_1204,29/10/2024 12:05:53,14/11/2024 14:00:00,4578787,Provision of Garage Services for the Tralee Municipal District Metro Area of Kerry County Council.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4578787,,,1
"DLR Co Co - Pitch, Athletic Track and Sports field maintenance for East County and West County",Dún Laoghaire-Rathdown County Council,29/10/2024 11:58:37,11/11/2024 17:00:00,4460744,Sports Pitch and Athletic Track maintenance,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4460744,,,1
Advanced Python 3 Training Courses,MIDAS Electronic Systems Skillnet,29/10/2024 11:45:54,05/11/2024 11:00:00,4579292,Advanced Python 3 Training Courses,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4579292,,,1
County Kildare LEADER Partnership - The development and delivery of a training programme on “Empowering SMARTer Community-Led Development,County Kildare Leader Partnership CLG,29/10/2024 11:40:10,20/11/2024 17:00:00,4579392,County Kildare LEADER Partnership invites tenders for the development and delivery of a training programme on “Empowering SMARTer Community-Led Development. Please refer to the documentation provided for Instructions to tender and a full Specification,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4579392,,,1
